                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5348,                  1.789,                  1.388,                0.88252,                0.78439,                0.86478,                0.54088,                  1.312,                 1.0528,                 1.2348,             0.00046526,             0.00046526,             0.00046526
                      2,                 1.2533,                0.94902,                 1.2137,                0.86093,                0.72917,                0.84063,                0.53446,                 1.3234,                 1.0945,                 1.3335,              0.0009043,              0.0009043,              0.0009043
                      3,                 1.2067,                0.86709,                 1.2023,                0.90995,                0.79085,                 0.8737,                0.58294,                 1.2056,                0.93645,                  1.246,              0.0013056,              0.0013056,              0.0013056
                      4,                 1.1492,                0.80336,                 1.1705,                0.86603,                0.84181,                0.88266,                0.55364,                  1.216,                0.93659,                 1.2778,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.1312,                0.76639,                 1.1707,                 0.9385,                0.85584,                0.93098,                0.65683,                 1.0926,                0.76618,                 1.2113,              0.0012026,              0.0012026,              0.0012026
                      6,                 1.0772,                0.71011,                 1.1361,                0.93478,                0.93786,                0.94678,                0.67601,                 1.0704,                0.68021,                 1.1919,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.0483,                0.66559,                 1.1161,                0.95724,                0.93623,                0.95991,                0.69025,                 1.0904,                0.61909,                  1.171,              0.0010895,              0.0010895,              0.0010895
                      8,                0.99823,                0.64228,                 1.1009,                0.94053,                0.92298,                0.96162,                0.69252,                 1.0717,                0.59162,                 1.1889,              0.0010329,              0.0010329,              0.0010329
                      9,                0.98961,                0.62112,                  1.091,                0.95816,                 0.9294,                0.96216,                0.69098,                 1.0284,                 0.5805,                 1.1749,             0.00097629,             0.00097629,             0.00097629
                     10,                0.97713,                0.60201,                 1.0845,                0.97717,                0.92954,                0.96844,                0.70921,                 1.0417,                0.54317,                 1.1542,              0.0009197,              0.0009197,              0.0009197
                     11,                0.94425,                0.57261,                 1.0664,                0.97133,                0.95875,                0.98007,                0.71893,                 1.0044,                0.52295,                  1.136,             0.00086312,             0.00086312,             0.00086312
                     12,                0.91548,                0.55374,                 1.0548,                0.95783,                0.94974,                0.97099,                0.72525,                  1.002,                0.53482,                 1.1393,             0.00080653,             0.00080653,             0.00080653
                     13,                0.88979,                0.53904,                 1.0476,                0.95212,                0.94868,                0.97118,                0.72652,                 1.0073,                0.52927,                 1.1294,             0.00074994,             0.00074994,             0.00074994
                     14,                0.88623,                0.52811,                 1.0405,                0.97479,                0.96115,                0.97938,                0.74315,                0.97158,                0.49627,                 1.1057,             0.00069335,             0.00069335,             0.00069335
                     15,                0.86499,                0.51123,                 1.0371,                0.96364,                0.95053,                0.97245,                0.72806,                0.98198,                0.49828,                 1.1266,             0.00063676,             0.00063676,             0.00063676
                     16,                0.79994,                0.45842,                 1.0083,                0.95935,                0.94763,                0.97035,                0.72666,                 1.0169,                0.51053,                 1.1315,             0.00058017,             0.00058017,             0.00058017
                     17,                0.78197,                0.43878,                0.99637,                0.96591,                0.95673,                0.97009,                 0.7279,                 1.0278,                0.50996,                 1.1439,             0.00052359,             0.00052359,             0.00052359
                     18,                0.76442,                0.42684,                0.98526,                0.98691,                0.93066,                0.97132,                0.72892,                0.99922,                0.49308,                 1.1476,               0.000467,               0.000467,               0.000467
                     19,                0.74786,                0.40844,                0.97372,                0.97696,                 0.9289,                0.97305,                0.75646,                0.97307,                0.47956,                 1.1155,             0.00041041,             0.00041041,             0.00041041
                     20,                 0.7156,                 0.3959,                0.96586,                0.97034,                 0.9475,                0.97468,                0.75245,                0.99718,                0.47716,                 1.1312,             0.00035382,             0.00035382,             0.00035382
                     21,                0.70238,                0.38825,                0.95529,                0.96126,                0.95187,                0.97479,                0.75495,                0.94552,                 0.4644,                 1.1152,             0.00029723,             0.00029723,             0.00029723
                     22,                0.69269,                0.37665,                0.94452,                0.97838,                 0.9342,                0.97499,                0.75676,                0.96046,                 0.4771,                 1.1217,             0.00024064,             0.00024064,             0.00024064
                     23,                0.66475,                0.36326,                0.93544,                 0.9836,                 0.9393,                0.97147,                0.76242,                0.92267,                0.45499,                 1.1141,             0.00018406,             0.00018406,             0.00018406
                     24,                0.64956,                0.35676,                0.93492,                0.97983,                 0.9409,                0.97117,                0.76937,                0.92647,                 0.4438,                 1.1138,             0.00012747,             0.00012747,             0.00012747
                     25,                 0.6346,                0.34537,                0.92865,                0.97668,                0.95055,                0.97161,                0.77119,                0.92886,                0.45195,                 1.1117,             7.0878e-05,             7.0878e-05,             7.0878e-05
